lead_id,nome_ficticio,municipio,canal_captacao,curso_interesse,faixa_etaria,turno_preferencia,dia_semana_contato,dias_sem_contato,n_tentativas,respondeu_contato,renda_estimada,converteu
446,Maria Cecília Moraes,Casa Grande da Mata,Facebook Ads,Inglês Básico,25-34,Noite,Terça-feira,5,1,0,4678.35,0
447,Bianca Machado,Cavalcante,Evento Presencial,Inglês Básico,25-34,Noite,Segunda-feira,7,2,0,8639.22,0
448,Hellena Pimenta,das Neves,Facebook Ads,Inglês Adulto,25-34,Manhã,Quarta-feira,6,0,0,10724.95,0
449,Vicente da Rosa,Nogueira dos Dourados,Indicação,Inglês Intermediário,25-34,Manhã,Terça-feira,8,3,0,3078.21,0
450,Ana Araújo,Cardoso,Facebook Ads,Inglês Intermediário,35-44,Noite,Sexta-feira,11,2,0,5068.32,0
451,Maria Liz Lima,Melo,Indicação,Inglês Adulto,55+,Noite,Sexta-feira,8,3,1,3665.96,1
452,Bianca Mendonça,Caldeira,Tráfego Orgânico,Inglês Teens,35-44,Noite,Terça-feira,8,2,0,2472.18,0
453,Sra. Ana Sophia Barros,Aragão de Minas,Facebook Ads,Inglês Intermediário,,Manhã,Quinta-feira,6,3,1,4062.14,0
454,Sr. Benício Cardoso,Gonçalves da Serra,Instagram,Inglês Adulto,25-34,Tarde,Segunda-feira,7,1,1,5063.65,1
455,Yan Silva,Pimenta de Fogaça,Indicação,Francês,45-54,,Terça-feira,8,3,0,3943.52,0
456,Dr. Vinícius da Rocha,Farias do Oeste,Instagram,Inglês Adulto,45-54,Noite,Sexta-feira,1,1,0,2155.7,0
457,Sofia Pereira,Sá,Evento Presencial,Espanhol,,Noite,Sexta-feira,7,1,0,2712.32,0
458,Beatriz Vieira,Nunes de Cardoso,Google Ads,Inglês Teens,55+,Tarde,Sexta-feira,5,3,0,2723.76,0
459,Srta. Helena Lopes,Sampaio,Tráfego Orgânico,Inglês Básico,25-34,Noite,Segunda-feira,10,3,1,2202.12,0
460,Heloísa Jesus,Brito de Marques,Facebook Ads,Inglês Intermediário,45-54,Tarde,Quinta-feira,3,2,1,4158.73,0
461,Dr. Murilo Leão,Rodrigues dos Dourados,Google Ads,Inglês Adulto,55+,Noite,Quarta-feira,7,4,1,4404.93,0
462,Srta. Luara Lima,da Conceição de Câmara,Indicação,Francês,35-44,Manhã,Domingo,4,1,0,,0
463,Dr. Marcelo Cassiano,Pimenta,Evento Presencial,Inglês Intermediário,18-24,Noite,Quinta-feira,4,2,0,,0
464,Olívia Azevedo,Fonseca das Flores,Instagram,Inglês Básico,35-44,Noite,Domingo,7,2,0,2547.59,0
465,Bryan Borges,Sampaio,Google Ads,Inglês Adulto,18-24,Noite,Segunda-feira,7,7,1,8229.92,0
466,Aylla Souza,Viana Alegre,Facebook Ads,Inglês Básico,35-44,Tarde,Quarta-feira,5,1,0,3197.25,0
467,Sra. Caroline Novais,Mendonça de Alves,Facebook Ads,Inglês Teens,25-34,Noite,Sexta-feira,12,3,0,3558.49,0
468,Lucas Rios,Melo,Evento Presencial,Inglês Adulto,35-44,Noite,Quarta-feira,7,5,1,3178.65,0
469,Noah Fogaça,Ferreira,Indicação,Inglês Teens,45-54,Manhã,Quinta-feira,6,0,0,6526.89,0
470,Mariana Silveira,Martins de Cavalcante,Google Ads,Espanhol,18-24,Manhã,Quinta-feira,4,3,0,6667.59,0
471,João Pedro Peixoto,Vargas da Praia,Google Ads,Inglês Adulto,25-34,,Domingo,9,2,1,6456.11,0
472,Luiz Gustavo Caldeira,Moraes,Google Ads,Inglês Adulto,35-44,Tarde,Terça-feira,5,2,0,3551.52,0
473,Sofia Cunha,Guerra,Indicação,Inglês Teens,25-34,Manhã,Domingo,10,3,0,2166.09,0
474,Rodrigo Câmara,Duarte,Indicação,Inglês Teens,18-24,Manhã,Quarta-feira,7,2,0,10090.86,0
475,Luiz Fernando Novais,Vieira,Instagram,Espanhol,18-24,Manhã,Quarta-feira,5,1,0,,0
476,Sr. João Lucas Oliveira,Nascimento dos Dourados,Instagram,Inglês Básico,25-34,Tarde,Quinta-feira,12,2,1,2722.64,0
477,Paulo Novais,Pastor das Pedras,Google Ads,Inglês Adulto,35-44,Noite,Terça-feira,7,3,0,7658.86,0
478,Amanda Pereira,Pinto,Facebook Ads,Inglês Básico,35-44,Manhã,Domingo,4,5,1,2606.94,0
479,Juliana Alves,Novaes,Facebook Ads,Espanhol,18-24,Noite,Sábado,8,1,0,7603.81,0
480,João Gabriel Sampaio,Mendes,Google Ads,Inglês Adulto,25-34,Tarde,Domingo,4,1,1,7891.76,0
481,Lucca Ferreira,Azevedo Alegre,Google Ads,Inglês Intermediário,25-34,Tarde,Domingo,9,1,1,2108.44,0
482,Fernando Casa Grande,Sales,Instagram,Inglês Básico,,Manhã,Quinta-feira,5,2,0,4819.79,0
483,Maria Liz Azevedo,Viana das Pedras,Google Ads,Inglês Intermediário,35-44,Noite,Quarta-feira,9,4,1,5381.5,0
484,Arthur Borges,Nogueira de Goiás,Instagram,Inglês Teens,25-34,Noite,Sábado,6,2,1,14745.87,0
485,Dra. Helena Garcia,Ribeiro,Indicação,Inglês Básico,25-34,Tarde,Segunda-feira,7,2,1,2326.81,1
486,Mirella Fernandes,Sousa,Google Ads,Inglês Básico,45-54,Manhã,Sábado,6,1,0,7695.7,0
487,Léo das Neves,Camargo de Pastor,Google Ads,Espanhol,25-34,Tarde,Quarta-feira,7,5,1,3533.55,0
488,Sra. Antonella Aragão,Duarte de Novais,Instagram,Inglês Teens,35-44,Manhã,Quinta-feira,6,3,0,1768.29,0
489,Emanuel Sá,Macedo,Google Ads,Inglês Básico,18-24,Noite,Quarta-feira,6,2,1,3276.48,0
490,Ana Julia Rocha,das Neves,Google Ads,Inglês Básico,,Manhã,Quarta-feira,14,3,1,3504.75,0
491,João Gabriel Macedo,Azevedo do Campo,Facebook Ads,Francês,18-24,Noite,Segunda-feira,10,2,0,,0
492,Mariana Mendonça,Duarte do Amparo,Facebook Ads,Inglês Teens,35-44,Noite,Quarta-feira,5,1,1,4155.61,0
493,Melina Leão,Borges,Facebook Ads,Inglês Adulto,,Tarde,Quarta-feira,5,2,1,5927.24,0
494,Henrique Sá,Carvalho,Instagram,Inglês Intermediário,18-24,Noite,Terça-feira,8,2,1,3989.93,0
495,Bruna Ferreira,Sá,Tráfego Orgânico,Inglês Básico,25-34,Manhã,Terça-feira,7,1,0,2598.02,0
496,Brenda da Paz,Ribeiro,Google Ads,Inglês Básico,,Noite,Quinta-feira,7,1,0,3225.55,0
497,Raquel Moura,Machado,Google Ads,Inglês Teens,35-44,Manhã,Terça-feira,2,2,0,3491.26,0
498,Lorena Aparecida,Gomes Verde,Facebook Ads,Inglês Básico,35-44,Noite,Sábado,4,0,0,3944.37,0
499,Miguel Peixoto,Costa de Costela,Instagram,Inglês Básico,35-44,Tarde,Segunda-feira,7,5,1,6444.13,0
500,André Costela,da Rosa Verde,Google Ads,Inglês Teens,45-54,,Quinta-feira,3,3,0,4064.66,0
501,Heitor Vargas,Lopes da Praia,Facebook Ads,Espanhol,25-34,Noite,Segunda-feira,4,0,1,1618.14,0
502,José Miguel da Rocha,Pacheco,Tráfego Orgânico,Inglês Teens,35-44,Manhã,Quinta-feira,10,2,1,2568.92,0
503,Sr. André Monteiro,Pimenta,Evento Presencial,Inglês Intermediário,35-44,Manhã,Quinta-feira,8,5,1,3834.64,0
504,Sra. Emanuella Cardoso,Cardoso da Mata,Google Ads,Inglês Intermediário,25-34,Noite,Quinta-feira,5,3,0,6494.99,0
505,Yasmin Santos,Freitas,Google Ads,Inglês Intermediário,45-54,Tarde,Quarta-feira,8,1,1,,0
506,Theodoro Novais,Abreu,Tráfego Orgânico,Inglês Intermediário,18-24,Noite,Quarta-feira,4,0,0,9289.08,0
507,Maria Barbosa,Camargo da Mata,Instagram,Inglês Adulto,35-44,Noite,Terça-feira,3,2,1,,1
508,Ana Cecília Lopes,da Costa,Tráfego Orgânico,Inglês Intermediário,35-44,Noite,Quarta-feira,8,3,0,5325.91,0
509,Raul Barbosa,Sampaio Verde,Google Ads,Inglês Adulto,45-54,Tarde,Quarta-feira,9,0,1,1572.72,0
510,Dr. Nathan Santos,Pires Alegre,Indicação,Espanhol,25-34,,Quinta-feira,9,3,0,4433.54,0
511,Maria Vitória da Rocha,Guerra das Flores,Indicação,Francês,25-34,Noite,Quarta-feira,8,2,1,1937.44,1
512,Nathan Almeida,Nogueira do Oeste,Tráfego Orgânico,Inglês Básico,45-54,Manhã,Sexta-feira,7,0,0,3381.66,0
513,Sr. Raul Sales,Melo,Indicação,Inglês Intermediário,35-44,Tarde,Quarta-feira,8,1,0,18525.98,0
514,Sr. Pedro Henrique Caldeira,Correia,Instagram,Inglês Básico,25-34,,Terça-feira,12,1,1,4135.95,0
515,Pedro Henrique Pastor,Fonseca das Pedras,Instagram,Inglês Intermediário,35-44,,Terça-feira,6,5,0,2176.39,0
516,Valentina Barros,da Paz,Instagram,Inglês Básico,25-34,Noite,Segunda-feira,7,0,1,4379.99,0
517,Luana Souza,Carvalho,Instagram,Inglês Básico,35-44,Noite,Quinta-feira,2,2,1,2633.65,0
518,Sr. Lucas Gabriel Vasconcelos,Barbosa,Facebook Ads,Inglês Teens,45-54,Noite,Sábado,5,2,0,2063.4,0
519,Breno Moraes,Casa Grande,Indicação,Inglês Intermediário,25-34,Noite,Sexta-feira,8,1,0,11128.28,0
520,Bruna Moura,Ribeiro de Lopes,Tráfego Orgânico,Espanhol,25-34,Tarde,Quarta-feira,6,2,0,6293.45,0
521,Evelyn Vasconcelos,Barros,Tráfego Orgânico,Inglês Básico,55+,,Terça-feira,9,4,1,4232.56,0
522,Dr. Diogo da Costa,Ramos,Instagram,Inglês Básico,35-44,Manhã,Sábado,5,2,1,2821.48,0
523,Diogo da Cunha,Marques das Pedras,Instagram,Inglês Intermediário,45-54,Noite,Segunda-feira,6,2,0,2950.07,0
524,Erick Pereira,Marques,Facebook Ads,Inglês Básico,,Tarde,Quarta-feira,8,3,0,,0
525,Breno Cavalcanti,Novaes dos Dourados,Indicação,Inglês Básico,55+,Noite,Sábado,3,1,0,4142.84,0
526,Sabrina Martins,Fogaça de Goiás,Instagram,Francês,18-24,Manhã,Quarta-feira,9,2,1,642.25,0
527,Melissa Rodrigues,Lima,Evento Presencial,Inglês Básico,25-34,Noite,Segunda-feira,3,2,0,13253.73,0
528,Luna Pires,Oliveira,Evento Presencial,Inglês Básico,25-34,,Terça-feira,10,2,0,3870.75,0
529,Sr. Pedro Lucas Azevedo,Siqueira de da Costa,Tráfego Orgânico,Inglês Adulto,35-44,Noite,Quinta-feira,6,3,1,4227.52,0
530,Melina Pires,Jesus da Prata,Instagram,Inglês Intermediário,45-54,Manhã,Segunda-feira,8,2,0,6362.65,0
531,João Guilherme Pastor,Andrade do Norte,Facebook Ads,Inglês Adulto,35-44,Noite,Quinta-feira,7,2,0,4521.01,1
532,Luiz Gustavo Montenegro,Santos de Freitas,Facebook Ads,Inglês Intermediário,35-44,Manhã,Quarta-feira,4,0,0,5278.08,0
533,Leonardo Martins,Pacheco,Instagram,Inglês Teens,25-34,Tarde,Terça-feira,6,3,1,2772.4,0
534,Ana Carolina Araújo,Sales de Barros,Facebook Ads,Inglês Básico,25-34,Manhã,Terça-feira,11,3,0,1779.58,0
535,Dr. Breno Ramos,Siqueira,Indicação,Inglês Intermediário,25-34,Tarde,Sexta-feira,5,1,1,4083.24,0
536,Thiago Gomes,Martins do Galho,Instagram,Inglês Adulto,18-24,Noite,Quarta-feira,6,0,0,7691.77,0
537,Ana Cecília Machado,Moreira,Google Ads,Espanhol,25-34,Manhã,Sexta-feira,8,1,1,2450.94,0
538,Esther Duarte,da Cruz,Instagram,Inglês Intermediário,,Tarde,Quarta-feira,6,6,0,2345.15,0
539,Olívia Montenegro,Pires de Sousa,Instagram,Inglês Adulto,35-44,Noite,Segunda-feira,7,3,1,6850.51,0
540,Bento Machado,Rodrigues,Tráfego Orgânico,Inglês Básico,35-44,Noite,Quarta-feira,8,2,0,,1
541,Luigi Silva,Pimenta do Norte,Evento Presencial,Inglês Básico,25-34,Noite,Quarta-feira,5,2,1,2792.55,0
542,Thiago Ramos,Nascimento do Sul,Google Ads,Inglês Básico,25-34,Noite,Quarta-feira,7,6,1,2850.61,0
543,Asafe da Cruz,Marques de Moraes,Tráfego Orgânico,Inglês Teens,18-24,Manhã,Sexta-feira,7,5,0,,0
544,Sra. Maysa Moura,Oliveira de Siqueira,Evento Presencial,Inglês Básico,25-34,Noite,Sábado,8,0,0,1472.94,0
545,Eduarda Fonseca,Leão da Praia,Indicação,Inglês Teens,25-34,Manhã,Sexta-feira,10,5,1,2601.6,0
546,Dr. Mathias Jesus,da Rocha da Serra,Google Ads,Inglês Básico,25-34,Tarde,Quinta-feira,9,1,0,3972.78,0
547,Sr. Lucas Gabriel Azevedo,Sales,Instagram,Espanhol,,Manhã,Quinta-feira,6,0,0,3957.23,0
548,Sr. Matheus da Paz,Siqueira Verde,Indicação,Inglês Teens,,,Quinta-feira,6,2,1,,0
549,Dom Farias,Araújo do Amparo,Tráfego Orgânico,Inglês Básico,,Tarde,Terça-feira,10,1,0,9625.62,0
550,Diego Ferreira,Oliveira,Google Ads,Inglês Básico,,Noite,Sexta-feira,8,2,0,8041.61,0
551,Matteo Cardoso,Ribeiro,Google Ads,Inglês Básico,25-34,Tarde,Sábado,7,0,1,5788.2,0
552,Antonella das Neves,Sousa do Sul,Instagram,Espanhol,25-34,Tarde,Terça-feira,3,1,0,3225.08,1
553,Maria Flor Ramos,Mendonça de Minas,Instagram,Inglês Básico,25-34,Tarde,Sábado,7,3,1,2484.51,0
554,Sr. Vinicius Borges,Montenegro,Evento Presencial,Inglês Adulto,25-34,Manhã,Sábado,6,4,0,3534.59,0
555,Mariana Moraes,Viana,Indicação,Inglês Intermediário,,Tarde,Quarta-feira,2,2,0,4829.93,0
556,Sr. Luiz Miguel das Neves,da Cunha Grande,Instagram,Inglês Teens,,Noite,Sábado,6,4,0,5500.44,0
557,Heitor Fernandes,da Mota Paulista,Instagram,Inglês Intermediário,45-54,,Segunda-feira,4,1,0,4930.6,0
558,Evelyn Câmara,Sousa,Google Ads,Inglês Adulto,18-24,Manhã,Segunda-feira,7,5,1,3274.34,0
559,Eduardo Barbosa,Pereira,Google Ads,Francês,25-34,Noite,Quarta-feira,3,2,0,5395.35,0
560,Carlos Eduardo Montenegro,Pastor,Google Ads,Inglês Básico,25-34,Tarde,Quinta-feira,4,3,1,7002.33,0
561,Valentina Andrade,Ribeiro,Indicação,Inglês Teens,25-34,Manhã,Quarta-feira,7,4,1,5679.43,0
562,Maitê Vargas,Freitas de Cavalcanti,Instagram,Inglês Básico,25-34,Manhã,Domingo,7,2,0,3438.91,0
563,Caroline Peixoto,Viana de Goiás,Tráfego Orgânico,Inglês Intermediário,45-54,,Terça-feira,10,3,0,2212.55,0
564,Daniela Castro,Cirino de Moura,Facebook Ads,Espanhol,25-34,Tarde,Terça-feira,10,2,1,2183.88,0
565,Enzo Silveira,Fernandes,Facebook Ads,Inglês Adulto,35-44,Noite,Quinta-feira,8,4,1,2406.31,0
566,Ana Clara Jesus,Casa Grande,Facebook Ads,Inglês Adulto,,Manhã,Segunda-feira,10,0,0,4031.56,0
567,Sr. Pedro Miguel Pimenta,Monteiro,Tráfego Orgânico,Inglês Básico,18-24,Noite,Sexta-feira,8,2,0,4658.32,0
568,Pietro da Conceição,Vargas das Flores,Indicação,Inglês Intermediário,25-34,Tarde,Quarta-feira,10,2,1,,0
569,Isabella das Neves,Ribeiro,Instagram,Inglês Intermediário,25-34,Noite,Domingo,5,3,0,2652.67,0
570,Evelyn Freitas,Silveira de Porto,Google Ads,Inglês Adulto,25-34,Noite,Sexta-feira,6,1,1,4001.1,0
571,Maysa Martins,Costela,Instagram,Inglês Intermediário,55+,,Segunda-feira,7,1,0,2133.87,0
572,Mateus Montenegro,Aragão Paulista,Tráfego Orgânico,Inglês Intermediário,35-44,Manhã,Segunda-feira,9,2,1,4443.36,0
573,Mariah Castro,Aragão,Google Ads,Inglês Intermediário,55+,Tarde,Segunda-feira,4,3,0,2955.53,0
574,Davi Miguel da Cunha,Martins,Tráfego Orgânico,Inglês Básico,25-34,Noite,Domingo,5,5,1,2351.1,0
575,Rodrigo Freitas,Melo da Mata,Tráfego Orgânico,Inglês Intermediário,35-44,Noite,Sexta-feira,6,2,0,3603.93,0
576,Bella Silva,Souza de Sá,Google Ads,Inglês Básico,35-44,Manhã,Quarta-feira,6,1,1,4342.79,0
577,Camila da Paz,Garcia,Evento Presencial,Espanhol,,Noite,Terça-feira,10,1,0,2194.76,1
578,Enrico da Mata,Melo Paulista,Google Ads,Inglês Adulto,55+,Tarde,Sábado,7,1,1,3062.79,0
579,Sophie Casa Grande,Moura,Tráfego Orgânico,Inglês Básico,35-44,Manhã,Terça-feira,13,1,0,4526.67,0
580,Ayla Câmara,Albuquerque da Mata,Instagram,Inglês Adulto,45-54,Noite,Sexta-feira,7,3,0,2301.62,0
581,Marcela Alves,Garcia de Rocha,Google Ads,Inglês Teens,35-44,Tarde,Sexta-feira,8,1,1,1406.35,0
582,Ana Júlia Gonçalves,Moura do Norte,Google Ads,Inglês Básico,18-24,Tarde,Terça-feira,7,1,0,1503.28,0
583,Maria Fernanda da Costa,Nascimento,Indicação,Inglês Básico,,Noite,Quarta-feira,6,4,0,2781.07,0
584,Anna Liz Freitas,Lopes Paulista,Instagram,Inglês Básico,25-34,Tarde,Terça-feira,11,1,1,1694.92,0
585,Arthur Dias,da Mata Paulista,Evento Presencial,Inglês Básico,45-54,Noite,Quarta-feira,12,3,1,,1
586,Lucas Gabriel Vieira,da Cunha,Facebook Ads,Inglês Teens,45-54,Tarde,Domingo,6,1,1,8744.99,0
587,Davi Miguel Andrade,Martins de Goiás,Instagram,Francês,18-24,Manhã,Sexta-feira,9,2,0,1639.73,0
588,Ravy Sampaio,Moreira,Instagram,Inglês Básico,18-24,Tarde,Sábado,12,6,0,,0
589,Ravy Machado,Rocha da Serra,Instagram,Inglês Teens,18-24,Noite,Quinta-feira,7,2,1,11308.23,0
590,Alana Barros,Novaes do Sul,Indicação,Inglês Básico,25-34,,Terça-feira,5,3,0,4380.81,0
591,José Miguel Cunha,Azevedo,Evento Presencial,Inglês Adulto,18-24,Manhã,Sexta-feira,10,2,1,2859.12,1
592,Yan Siqueira,Jesus,Google Ads,Inglês Teens,35-44,Noite,Quarta-feira,8,4,0,3210.66,0
593,Vitória Lima,Moura,Instagram,Inglês Intermediário,35-44,Noite,Terça-feira,10,1,1,4432.27,0
594,João Pedro da Costa,Rodrigues,Google Ads,Inglês Básico,,Noite,Quarta-feira,5,3,1,8894.54,0
595,Davi Aragão,Ferreira de Câmara,Indicação,Inglês Adulto,25-34,Noite,Quinta-feira,0,1,0,2613.77,1
596,Otto Porto,da Cunha do Oeste,Instagram,Francês,25-34,Tarde,Sexta-feira,5,1,0,2307.3,0
597,Natália Azevedo,Alves,Facebook Ads,Inglês Básico,18-24,Noite,Terça-feira,9,0,0,1639.54,0
598,Theo Peixoto,Araújo,Facebook Ads,Inglês Básico,45-54,Noite,Sábado,3,1,0,3704.19,0
599,Allana Pires,Peixoto,Evento Presencial,Inglês Básico,18-24,Noite,Quarta-feira,4,4,1,1615.48,0
600,Isabella Silva,Santos,Facebook Ads,Inglês Adulto,18-24,,Terça-feira,6,3,0,2711.99,0
601,João Vitor Lima,Borges,Google Ads,Inglês Adulto,25-34,Tarde,Terça-feira,11,5,0,2123.33,0
602,Luiz Gustavo da Costa,Garcia,Tráfego Orgânico,Inglês Teens,,Manhã,Sexta-feira,2,3,0,6318.81,0
603,Maria Vitória Cirino,Camargo,Evento Presencial,Inglês Teens,18-24,Noite,Quarta-feira,3,0,1,2646.25,1
604,Antonella Moura,da Cunha,Facebook Ads,Espanhol,35-44,Manhã,Quarta-feira,4,0,0,4353.91,0
605,Sr. Vinicius Nogueira,Martins de Minas,Evento Presencial,Inglês Teens,35-44,Manhã,Terça-feira,8,1,0,1448.48,0
606,Sofia Novaes,da Mota de Vargas,Tráfego Orgânico,Inglês Básico,35-44,Tarde,Sexta-feira,5,4,1,3762.53,1
607,Mathias Melo,Sales Alegre,Tráfego Orgânico,Inglês Adulto,18-24,Noite,Sexta-feira,4,5,0,1805.84,0
608,Mathias Freitas,Castro de Minas,Indicação,Inglês Básico,18-24,Noite,Terça-feira,8,7,0,,0
609,Antony Fogaça,Vasconcelos do Norte,Facebook Ads,Inglês Intermediário,25-34,Noite,Domingo,8,0,1,11809.74,0
610,Luiz Felipe da Costa,Gomes Alegre,Google Ads,Espanhol,25-34,Noite,Segunda-feira,6,1,0,5844.25,0
611,Dra. Bella Vargas,da Luz,Google Ads,Inglês Adulto,35-44,Noite,Segunda-feira,7,0,1,3261.33,1
612,Lívia Carvalho,Cavalcanti dos Dourados,Facebook Ads,Francês,25-34,Noite,Quinta-feira,3,2,1,20331.7,0
613,Luiz Gustavo Nogueira,Mendonça,Evento Presencial,Inglês Intermediário,25-34,,Sexta-feira,5,1,1,,0
614,Sr. Ravi Sampaio,Pimenta,Evento Presencial,Inglês Adulto,18-24,Noite,Terça-feira,8,1,0,6643.45,0
615,Emilly Carvalho,Cavalcanti do Amparo,Instagram,Inglês Intermediário,35-44,Manhã,Quinta-feira,8,2,0,1506.5,0
616,Raul Andrade,Casa Grande,Facebook Ads,Inglês Básico,18-24,Manhã,Terça-feira,7,5,0,3060.58,0
617,Guilherme Aparecida,Cunha do Campo,Facebook Ads,Inglês Básico,35-44,Manhã,Quinta-feira,5,2,0,1667.76,0
618,Asafe Dias,Silva de da Luz,Instagram,Inglês Adulto,,Noite,Quinta-feira,7,4,0,4032.01,0
619,Théo Gonçalves,Andrade,Indicação,Inglês Básico,55+,Noite,Domingo,6,2,1,,0
620,Olívia da Cunha,Barbosa,Indicação,Espanhol,35-44,Noite,Quarta-feira,4,4,1,2955.14,1
621,Gabriel da Paz,Vasconcelos dos Dourados,Tráfego Orgânico,Inglês Básico,18-24,Noite,Quinta-feira,3,4,0,6381.44,0
622,Sr. Lucas da Mata,Monteiro,Google Ads,Inglês Básico,,Noite,Quinta-feira,6,0,1,2562.18,0
623,Léo Lopes,Rezende,Evento Presencial,Inglês Teens,25-34,Manhã,Terça-feira,9,1,1,,0
624,Maysa Gomes,Andrade,Google Ads,Inglês Básico,18-24,Noite,Terça-feira,8,2,1,,0
625,Sr. Theo Sales,da Mata Grande,Evento Presencial,Espanhol,25-34,,Domingo,10,3,1,1548.04,0
626,Maria Eduarda Moreira,Gonçalves Verde,Google Ads,Inglês Teens,45-54,Noite,Terça-feira,13,0,0,2319.0,0
627,Bryan Siqueira,Moraes,Tráfego Orgânico,Inglês Básico,35-44,Manhã,Sexta-feira,9,1,0,3605.23,0
628,Anna Liz Lopes,Mendes de Lopes,Indicação,Inglês Adulto,18-24,Manhã,Segunda-feira,12,0,0,4949.8,0
629,Emilly Nogueira,Siqueira de Minas,Google Ads,Inglês Adulto,35-44,Noite,Sexta-feira,3,1,1,,0
630,Lorenzo Caldeira,Abreu,Tráfego Orgânico,Inglês Teens,25-34,,Terça-feira,6,3,1,3108.15,0
631,Luan Ribeiro,Sales do Amparo,Evento Presencial,Inglês Teens,55+,Tarde,Domingo,10,5,1,2940.87,0
632,Leandro Machado,Nunes,Tráfego Orgânico,Inglês Teens,18-24,Tarde,Sexta-feira,8,1,1,2165.9,1
633,Mariane Cavalcante,Farias da Mata,Indicação,Inglês Adulto,35-44,Manhã,Segunda-feira,8,0,0,4196.51,1
634,Sra. Marcela Machado,Araújo de Minas,Instagram,Inglês Intermediário,35-44,Manhã,Sexta-feira,5,0,0,2972.34,0
635,Luiz Gustavo Pimenta,Nascimento Alegre,Indicação,Inglês Adulto,18-24,Noite,Quinta-feira,8,2,1,3010.32,1
636,Kamilly Porto,Marques,Indicação,Francês,,Noite,Terça-feira,11,4,0,,0
637,Breno Rios,Ramos do Oeste,Facebook Ads,Inglês Adulto,25-34,Noite,Terça-feira,8,0,0,4740.57,0
638,Maria Luiza Fonseca,Novaes,Facebook Ads,Inglês Adulto,45-54,Tarde,Sexta-feira,6,1,1,,0
639,Eduarda Alves,Gomes,Tráfego Orgânico,Inglês Intermediário,25-34,Manhã,Sexta-feira,7,3,1,2288.91,0
640,Pedro Lucas Andrade,da Rosa,Tráfego Orgânico,Inglês Teens,35-44,Tarde,Terça-feira,5,4,0,4438.03,0
641,Bernardo da Costa,Caldeira da Praia,Facebook Ads,Francês,35-44,Tarde,Sábado,7,6,1,662.73,0
642,Maria Clara Fonseca,Barros de Pires,Tráfego Orgânico,Inglês Básico,45-54,Manhã,Terça-feira,4,4,0,,0
643,Ana Beatriz Pereira,Sousa de Correia,Indicação,Inglês Básico,,Noite,Segunda-feira,5,4,1,1858.08,1
644,Rael Freitas,Andrade,Instagram,Inglês Adulto,25-34,Noite,Quinta-feira,3,2,0,6783.92,0
645,Dr. Breno Oliveira,Alves,Facebook Ads,Inglês Intermediário,35-44,Tarde,Segunda-feira,5,0,1,2746.29,0
646,Vinícius Fonseca,Mendonça,Tráfego Orgânico,Inglês Adulto,25-34,Tarde,Terça-feira,6,3,0,2571.19,0
647,Luara Rezende,Azevedo da Prata,Indicação,Inglês Básico,,Tarde,Quarta-feira,12,1,0,3407.64,1
648,Josué Camargo,Monteiro da Prata,Google Ads,Inglês Intermediário,18-24,Manhã,Terça-feira,7,0,0,2522.65,1
649,Francisco Monteiro,Almeida de Andrade,Facebook Ads,Inglês Adulto,18-24,Tarde,Terça-feira,4,2,0,,0
650,Maria Julia Novais,Araújo Alegre,Indicação,Inglês Adulto,,Tarde,Sexta-feira,7,0,0,3692.02,1
651,João Vasconcelos,Guerra,Google Ads,Inglês Adulto,25-34,Tarde,Quinta-feira,9,2,1,2774.97,0
652,Pietro Cunha,Cunha,Tráfego Orgânico,Inglês Teens,18-24,Tarde,Sábado,9,2,1,2764.04,0
653,Laura Sales,Rocha de Nascimento,Facebook Ads,Inglês Adulto,18-24,Noite,Quinta-feira,5,2,0,2008.07,0
654,Gabriela Campos,Sousa,Instagram,Inglês Teens,25-34,Manhã,Quarta-feira,4,1,1,1855.55,0
655,Brayan Machado,Barbosa,Tráfego Orgânico,Inglês Adulto,45-54,Manhã,Terça-feira,5,3,1,,0
656,Pedro Miguel Borges,Sousa,Instagram,Inglês Adulto,18-24,Manhã,Sexta-feira,11,1,1,4142.89,0
657,Luiza Rios,Mendonça,Tráfego Orgânico,Inglês Adulto,18-24,Manhã,Terça-feira,8,3,0,1595.64,0
658,Sr. Yan Nogueira,Melo,Instagram,Inglês Básico,25-34,Noite,Terça-feira,11,2,0,5316.05,0
659,Kaique Castro,da Cruz,Google Ads,Inglês Básico,55+,Noite,Sábado,7,1,1,5328.07,0
660,Dra. Emanuella Vieira,Albuquerque,Instagram,Inglês Adulto,25-34,Noite,Sexta-feira,5,3,0,5982.52,0
661,Sr. Davi Costa,Pires,Instagram,Espanhol,55+,Noite,Quinta-feira,9,5,0,4127.62,0
662,Isaac Vieira,das Neves,Tráfego Orgânico,Inglês Adulto,45-54,,Segunda-feira,8,1,1,,1
663,Amanda Fonseca,Marques,Instagram,Inglês Básico,25-34,Manhã,Segunda-feira,10,2,0,11640.93,1
664,Maria Eduarda Martins,Pastor,Indicação,Inglês Adulto,45-54,Tarde,Quarta-feira,7,1,1,2965.15,1
665,Caroline Pimenta,Caldeira,Instagram,Inglês Básico,35-44,Tarde,Sexta-feira,7,4,0,1969.21,0
666,Benício das Neves,Monteiro,Facebook Ads,Inglês Teens,25-34,Noite,Quarta-feira,7,2,1,1505.36,0
